procs, 1, 	units, 365, 	weights, 266450, 	cycles, 40000, 	con_trav, 1.0658e+10, 	secs, 0.24, 	mpisecs, 0.234659, 	Mcon/sec, 44408.3
procs, 1, 	units, 370, 	weights, 273800, 	cycles, 40000, 	con_trav, 1.0952e+10, 	secs, 0.24, 	mpisecs, 0.238411, 	Mcon/sec, 45633.3
procs, 1, 	units, 375, 	weights, 281250, 	cycles, 40000, 	con_trav, 1.125e+10, 	secs, 0.24, 	mpisecs, 0.240629, 	Mcon/sec, 46875
procs, 1, 	units, 380, 	weights, 288800, 	cycles, 40000, 	con_trav, 1.1552e+10, 	secs, 0.26, 	mpisecs, 0.255247, 	Mcon/sec, 44430.8
procs, 1, 	units, 385, 	weights, 296450, 	cycles, 40000, 	con_trav, 1.1858e+10, 	secs, 0.25, 	mpisecs, 0.251291, 	Mcon/sec, 47432
procs, 1, 	units, 390, 	weights, 304200, 	cycles, 40000, 	con_trav, 1.2168e+10, 	secs, 0.25, 	mpisecs, 0.251008, 	Mcon/sec, 48672
procs, 1, 	units, 395, 	weights, 312050, 	cycles, 40000, 	con_trav, 1.2482e+10, 	secs, 0.25, 	mpisecs, 0.249755, 	Mcon/sec, 49928
procs, 1, 	units, 400, 	weights, 320000, 	cycles, 40000, 	con_trav, 1.28e+10, 	secs, 0.26, 	mpisecs, 0.253857, 	Mcon/sec, 49230.8
procs, 1, 	units, 405, 	weights, 328050, 	cycles, 40000, 	con_trav, 1.3122e+10, 	secs, 0.26, 	mpisecs, 0.255422, 	Mcon/sec, 50469.2
procs, 1, 	units, 410, 	weights, 336200, 	cycles, 40000, 	con_trav, 1.3448e+10, 	secs, 0.26, 	mpisecs, 0.259309, 	Mcon/sec, 51723.1
procs, 1, 	units, 415, 	weights, 344450, 	cycles, 40000, 	con_trav, 1.3778e+10, 	secs, 0.26, 	mpisecs, 0.262311, 	Mcon/sec, 52992.3
procs, 1, 	units, 420, 	weights, 352800, 	cycles, 40000, 	con_trav, 1.4112e+10, 	secs, 0.27, 	mpisecs, 0.267878, 	Mcon/sec, 52266.7
procs, 1, 	units, 425, 	weights, 361250, 	cycles, 40000, 	con_trav, 1.445e+10, 	secs, 0.27, 	mpisecs, 0.268507, 	Mcon/sec, 53518.5
procs, 1, 	units, 430, 	weights, 369800, 	cycles, 40000, 	con_trav, 1.4792e+10, 	secs, 0.27, 	mpisecs, 0.270779, 	Mcon/sec, 54785.2
procs, 1, 	units, 435, 	weights, 378450, 	cycles, 40000, 	con_trav, 1.5138e+10, 	secs, 0.27, 	mpisecs, 0.270486, 	Mcon/sec, 56066.7
procs, 1, 	units, 440, 	weights, 387200, 	cycles, 40000, 	con_trav, 1.5488e+10, 	secs, 0.28, 	mpisecs, 0.278815, 	Mcon/sec, 55314.3
procs, 1, 	units, 445, 	weights, 396050, 	cycles, 40000, 	con_trav, 1.5842e+10, 	secs, 0.28, 	mpisecs, 0.280033, 	Mcon/sec, 56578.6
