procs, 8, 	units, 350, 	weights, 245000, 	cycles, 40000, 	con_trav, 9.8e+09, 	secs, 3.74, 	mpisecs, 3.72984, 	Mcon/sec, 2620.32
procs, 8, 	units, 355, 	weights, 252050, 	cycles, 40000, 	con_trav, 1.0082e+10, 	secs, 3.74, 	mpisecs, 3.73558, 	Mcon/sec, 2695.72
procs, 8, 	units, 360, 	weights, 259200, 	cycles, 40000, 	con_trav, 1.0368e+10, 	secs, 3.75, 	mpisecs, 3.74288, 	Mcon/sec, 2764.8
procs, 8, 	units, 365, 	weights, 266450, 	cycles, 40000, 	con_trav, 1.0658e+10, 	secs, 3.76, 	mpisecs, 3.76514, 	Mcon/sec, 2834.57
procs, 8, 	units, 370, 	weights, 273800, 	cycles, 40000, 	con_trav, 1.0952e+10, 	secs, 3.82, 	mpisecs, 3.82118, 	Mcon/sec, 2867.02
procs, 8, 	units, 375, 	weights, 281250, 	cycles, 40000, 	con_trav, 1.125e+10, 	secs, 3.82, 	mpisecs, 3.8197, 	Mcon/sec, 2945.03
procs, 8, 	units, 380, 	weights, 288800, 	cycles, 40000, 	con_trav, 1.1552e+10, 	secs, 3.84, 	mpisecs, 3.83588, 	Mcon/sec, 3008.33
procs, 8, 	units, 385, 	weights, 296450, 	cycles, 40000, 	con_trav, 1.1858e+10, 	secs, 3.83, 	mpisecs, 3.8321, 	Mcon/sec, 3096.08
procs, 8, 	units, 390, 	weights, 304200, 	cycles, 40000, 	con_trav, 1.2168e+10, 	secs, 3.84, 	mpisecs, 3.84178, 	Mcon/sec, 3168.75
procs, 8, 	units, 395, 	weights, 312050, 	cycles, 40000, 	con_trav, 1.2482e+10, 	secs, 3.86, 	mpisecs, 3.86644, 	Mcon/sec, 3233.68
procs, 8, 	units, 400, 	weights, 320000, 	cycles, 40000, 	con_trav, 1.28e+10, 	secs, 3.86, 	mpisecs, 3.85798, 	Mcon/sec, 3316.06
procs, 8, 	units, 405, 	weights, 328050, 	cycles, 40000, 	con_trav, 1.3122e+10, 	secs, 3.86, 	mpisecs, 3.85566, 	Mcon/sec, 3399.48
procs, 8, 	units, 410, 	weights, 336200, 	cycles, 40000, 	con_trav, 1.3448e+10, 	secs, 3.9, 	mpisecs, 3.90655, 	Mcon/sec, 3448.21
procs, 8, 	units, 415, 	weights, 344450, 	cycles, 40000, 	con_trav, 1.3778e+10, 	secs, 3.91, 	mpisecs, 3.90948, 	Mcon/sec, 3523.79
procs, 8, 	units, 420, 	weights, 352800, 	cycles, 40000, 	con_trav, 1.4112e+10, 	secs, 3.92, 	mpisecs, 3.92197, 	Mcon/sec, 3600
procs, 8, 	units, 425, 	weights, 361250, 	cycles, 40000, 	con_trav, 1.445e+10, 	secs, 3.94, 	mpisecs, 3.94124, 	Mcon/sec, 3667.51
procs, 8, 	units, 430, 	weights, 369800, 	cycles, 40000, 	con_trav, 1.4792e+10, 	secs, 3.94, 	mpisecs, 3.93633, 	Mcon/sec, 3754.31
procs, 8, 	units, 435, 	weights, 378450, 	cycles, 40000, 	con_trav, 1.5138e+10, 	secs, 3.95, 	mpisecs, 3.94609, 	Mcon/sec, 3832.41
procs, 8, 	units, 440, 	weights, 387200, 	cycles, 40000, 	con_trav, 1.5488e+10, 	secs, 3.95, 	mpisecs, 3.95474, 	Mcon/sec, 3921.01
procs, 8, 	units, 445, 	weights, 396050, 	cycles, 40000, 	con_trav, 1.5842e+10, 	secs, 3.99, 	mpisecs, 3.98945, 	Mcon/sec, 3970.43
procs, 8, 	units, 450, 	weights, 405000, 	cycles, 40000, 	con_trav, 1.62e+10, 	secs, 3.99, 	mpisecs, 3.98826, 	Mcon/sec, 4060.15
procs, 8, 	units, 455, 	weights, 414050, 	cycles, 40000, 	con_trav, 1.6562e+10, 	secs, 4, 	mpisecs, 3.99935, 	Mcon/sec, 4140.5
procs, 8, 	units, 460, 	weights, 423200, 	cycles, 40000, 	con_trav, 1.6928e+10, 	secs, 4.05, 	mpisecs, 4.04827, 	Mcon/sec, 4179.75
procs, 8, 	units, 465, 	weights, 432450, 	cycles, 40000, 	con_trav, 1.7298e+10, 	secs, 4.06, 	mpisecs, 4.06066, 	Mcon/sec, 4260.59
procs, 8, 	units, 470, 	weights, 441800, 	cycles, 40000, 	con_trav, 1.7672e+10, 	secs, 4.05, 	mpisecs, 4.04684, 	Mcon/sec, 4363.46
procs, 8, 	units, 475, 	weights, 451250, 	cycles, 40000, 	con_trav, 1.805e+10, 	secs, 4.09, 	mpisecs, 4.08129, 	Mcon/sec, 4413.2
procs, 8, 	units, 480, 	weights, 460800, 	cycles, 40000, 	con_trav, 1.8432e+10, 	secs, 4.09, 	mpisecs, 4.08909, 	Mcon/sec, 4506.6
procs, 8, 	units, 485, 	weights, 470450, 	cycles, 40000, 	con_trav, 1.8818e+10, 	secs, 4.08, 	mpisecs, 4.07868, 	Mcon/sec, 4612.25
procs, 8, 	units, 490, 	weights, 480200, 	cycles, 40000, 	con_trav, 1.9208e+10, 	secs, 4.12, 	mpisecs, 4.1198, 	Mcon/sec, 4662.14
procs, 8, 	units, 495, 	weights, 490050, 	cycles, 40000, 	con_trav, 1.9602e+10, 	secs, 4.15, 	mpisecs, 4.14608, 	Mcon/sec, 4723.37
procs, 8, 	units, 500, 	weights, 500000, 	cycles, 40000, 	con_trav, 2e+10, 	secs, 4.15, 	mpisecs, 4.14585, 	Mcon/sec, 4819.28
