Epoch_0_H:	|epoch	avg_sum_se	
Epoch_0_D:	441	0.423096	
Epoch_0_D:	442	0.417365	
Epoch_0_D:	443	0.396603	
Epoch_0_D:	444	0.387463	
Epoch_0_D:	445	0.37781		
Epoch_0_D:	446	0.378131	
Epoch_0_D:	447	0.373873	
Epoch_0_D:	448	0.368288	
Epoch_0_D:	449	0.366537	
Epoch_0_D:	450	0.346671	
Epoch_0_D:	451	0.327566	
Epoch_0_D:	452	0.328976	
Epoch_0_D:	453	0.320508	
Epoch_0_D:	454	0.319828	
Epoch_0_D:	455	0.319679	
Epoch_0_D:	456	0.322045	
Epoch_0_D:	457	0.3245		
Epoch_0_D:	458	0.326769	
Epoch_0_D:	459	0.325132	
Epoch_0_D:	460	0.357342	
Epoch_0_D:	461	0.335638	
Epoch_0_D:	462	0.334011	
Epoch_0_D:	463	0.335922	
Epoch_0_D:	464	0.34012		
Epoch_0_D:	465	0.342655	
Epoch_0_D:	466	0.350923	
Epoch_0_D:	467	0.35769		
Epoch_0_D:	468	0.365469	
Epoch_0_D:	469	0.368831	
Epoch_0_D:	470	0.472633	
Epoch_0_D:	471	0.448231	
Epoch_0_D:	472	0.445629	
Epoch_0_D:	473	0.43798		
Epoch_0_D:	474	0.434362	
Epoch_0_D:	475	0.42813		
Epoch_0_D:	476	0.421816	
Epoch_0_D:	477	0.414566	
Epoch_0_D:	478	0.411287	
Epoch_0_D:	479	0.40552		
Epoch_0_D:	480	0.395437	
Epoch_0_D:	481	0.372107	
Epoch_0_D:	482	0.353163	
Epoch_0_D:	483	0.333334	
Epoch_0_D:	484	0.320984	
Epoch_0_D:	485	0.326661	
Epoch_0_D:	486	0.330756	
Epoch_0_D:	487	0.334646	
Epoch_0_D:	488	0.333612	
Epoch_0_D:	489	0.331582	
Epoch_0_D:	490	0.359727	
Epoch_0_D:	491	0.36709		
Epoch_0_D:	492	0.364682	
Epoch_0_D:	493	0.357272	
Epoch_0_D:	494	0.356341	
Epoch_0_D:	495	0.36058		
Epoch_0_D:	496	0.361216	
Epoch_0_D:	497	0.366908	
Epoch_0_D:	498	0.367466	
Epoch_0_D:	499	0.372344	
Epoch_0_D:	500	0.369313	
Epoch_0_D:	501	0.352972	
Epoch_0_D:	502	0.341096	
Epoch_0_D:	503	0.339656	
Epoch_0_D:	504	0.339025	
Epoch_0_D:	505	0.336784	
Epoch_0_D:	506	0.338418	
Epoch_0_D:	507	0.33718		
Epoch_0_D:	508	0.336184	
Epoch_0_D:	509	0.335198	
Epoch_0_D:	510	0.364091	
Epoch_0_D:	511	0.339081	
Epoch_0_D:	512	0.342308	
Epoch_0_D:	513	0.340742	
Epoch_0_D:	514	0.34773		
Epoch_0_D:	515	0.347754	
Epoch_0_D:	516	0.34744		
Epoch_0_D:	517	0.344408	
Epoch_0_D:	518	0.347894	
Epoch_0_D:	519	0.348563	
Epoch_0_D:	520	0.369859	
Epoch_0_D:	521	0.360575	
Epoch_0_D:	522	0.351163	
Epoch_0_D:	523	0.347576	
Epoch_0_D:	524	0.344816	
Epoch_0_D:	525	0.340856	
Epoch_0_D:	526	0.342875	
Epoch_0_D:	527	0.341983	
Epoch_0_D:	528	0.341162	
Epoch_0_D:	529	0.340392	
Epoch_0_D:	530	0.372314	
Epoch_0_D:	531	0.366011	
Epoch_0_D:	532	0.359758	
Epoch_0_D:	533	0.361088	
Epoch_0_D:	534	0.364256	
Epoch_0_D:	535	0.362998	
Epoch_0_D:	536	0.366495	
Epoch_0_D:	537	0.363824	
Epoch_0_D:	538	0.362809	
Epoch_0_D:	539	0.358031	
Epoch_0_D:	540	0.421179	
Epoch_0_D:	541	0.413311	
Epoch_0_D:	542	0.407527	
Epoch_0_D:	543	0.397055	
Epoch_0_D:	544	0.391601	
Epoch_0_D:	545	0.382891	
Epoch_0_D:	546	0.379007	
Epoch_0_D:	547	0.379844	
Epoch_0_D:	548	0.376774	
Epoch_0_D:	549	0.372973	
Epoch_0_D:	550	0.340031	
Epoch_0_D:	551	0.29489		
Epoch_0_D:	552	0.285024	
Epoch_0_D:	553	0.286885	
Epoch_0_D:	554	0.286287	
Epoch_0_D:	555	0.284071	
Epoch_0_D:	556	0.281538	
Epoch_0_D:	557	0.279577	
Epoch_0_D:	558	0.278874	
Epoch_0_D:	559	0.276109	
Epoch_0_D:	560	0.34862		
Epoch_0_D:	561	0.335039	
Epoch_0_D:	562	0.33557		
Epoch_0_D:	563	0.327035	
Epoch_0_D:	564	0.327724	
Epoch_0_D:	565	0.322494	
Epoch_0_D:	566	0.32376		
Epoch_0_D:	567	0.324177	
Epoch_0_D:	568	0.323204	
Epoch_0_D:	569	0.323726	
Epoch_0_D:	570	0.395312	
Epoch_0_D:	571	0.372993	
Epoch_0_D:	572	0.372865	
Epoch_0_D:	573	0.365058	
Epoch_0_D:	574	0.366455	
Epoch_0_D:	575	0.368973	
Epoch_0_D:	576	0.371397	
Epoch_0_D:	577	0.371993	
Epoch_0_D:	578	0.371259	
Epoch_0_D:	579	0.370834	
Epoch_0_D:	580	0.457213	
Epoch_0_D:	581	0.401944	
Epoch_0_D:	582	0.390354	
Epoch_0_D:	583	0.374671	
Epoch_0_D:	584	0.365435	
Epoch_0_D:	585	0.356008	
Epoch_0_D:	586	0.343354	
Epoch_0_D:	587	0.336368	
Epoch_0_D:	588	0.331395	
Epoch_0_D:	589	0.326642	
Epoch_0_D:	590	0.356249	
Epoch_0_D:	591	0.340611	
Epoch_0_D:	592	0.34484		
Epoch_0_D:	593	0.34996		
Epoch_0_D:	594	0.335986	
Epoch_0_D:	595	0.337835	
Epoch_0_D:	596	0.329963	
Epoch_0_D:	597	0.329611	
Epoch_0_D:	598	0.335594	
Epoch_0_D:	599	0.33478		
Epoch_0_D:	600	0.382673	
Epoch_0_D:	601	0.392252	
Epoch_0_D:	602	0.371448	
Epoch_0_D:	603	0.35993		
Epoch_0_D:	604	0.350957	
Epoch_0_D:	605	0.348761	
Epoch_0_D:	606	0.339807	
Epoch_0_D:	607	0.338436	
Epoch_0_D:	608	0.336217	
Epoch_0_D:	609	0.331524	
Epoch_0_D:	610	0.352086	
Epoch_0_D:	611	0.330246	
Epoch_0_D:	612	0.323352	
Epoch_0_D:	613	0.318085	
Epoch_0_D:	614	0.319129	
Epoch_0_D:	615	0.311126	
Epoch_0_D:	616	0.31525		
Epoch_0_D:	617	0.315059	
Epoch_0_D:	618	0.319097	
Epoch_0_D:	619	0.319636	
Epoch_0_D:	620	0.324369	
Epoch_0_D:	621	0.342543	
Epoch_0_D:	622	0.329059	
Epoch_0_D:	623	0.326506	
Epoch_0_D:	624	0.320653	
Epoch_0_D:	625	0.31152		
Epoch_0_D:	626	0.309574	
Epoch_0_D:	627	0.307949	
Epoch_0_D:	628	0.307764	
Epoch_0_D:	629	0.307335	
Epoch_0_D:	630	0.344216	
Epoch_0_D:	631	0.351073	
Epoch_0_D:	632	0.339992	
Epoch_0_D:	633	0.336915	
Epoch_0_D:	634	0.3347		
Epoch_0_D:	635	0.332634	
Epoch_0_D:	636	0.329232	
Epoch_0_D:	637	0.328629	
Epoch_0_D:	638	0.325936	
Epoch_0_D:	639	0.326634	
Epoch_0_D:	640	0.327008	
Epoch_0_D:	641	0.317991	
Epoch_0_D:	642	0.31735		
Epoch_0_D:	643	0.325429	
Epoch_0_D:	644	0.324366	
Epoch_0_D:	645	0.327128	
Epoch_0_D:	646	0.328569	
Epoch_0_D:	647	0.329285	
Epoch_0_D:	648	0.332847	
Epoch_0_D:	649	0.332595	
Epoch_0_D:	650	0.343478	
Epoch_0_D:	651	0.339813	
Epoch_0_D:	652	0.324833	
Epoch_0_D:	653	0.325234	
Epoch_0_D:	654	0.316805	
Epoch_0_D:	655	0.313131	
Epoch_0_D:	656	0.310921	
Epoch_0_D:	657	0.313203	
Epoch_0_D:	658	0.3141		
Epoch_0_D:	659	0.313944	
Epoch_0_D:	660	0.352602	
Epoch_0_D:	661	0.340765	
Epoch_0_D:	662	0.339827	
Epoch_0_D:	663	0.338967	
Epoch_0_D:	664	0.338286	
Epoch_0_D:	665	0.334569	
Epoch_0_D:	666	0.339097	
Epoch_0_D:	667	0.338852	
Epoch_0_D:	668	0.334139	
Epoch_0_D:	669	0.336085	
Epoch_0_D:	670	0.343668	
Epoch_0_D:	671	0.336464	
Epoch_0_D:	672	0.332717	
Epoch_0_D:	673	0.324572	
Epoch_0_D:	674	0.318572	
Epoch_0_D:	675	0.318562	
Epoch_0_D:	676	0.316725	
Epoch_0_D:	677	0.31735		
Epoch_0_D:	678	0.314792	
Epoch_0_D:	679	0.311938	
Epoch_0_D:	680	0.346296	
Epoch_0_D:	681	0.329472	
Epoch_0_D:	682	0.32586		
Epoch_0_D:	683	0.321773	
Epoch_0_D:	684	0.320753	
Epoch_0_D:	685	0.323934	
Epoch_0_D:	686	0.326813	
Epoch_0_D:	687	0.324766	
Epoch_0_D:	688	0.321896	
Epoch_0_D:	689	0.321125	
Epoch_0_D:	690	0.352092	
Epoch_0_D:	691	0.330212	
Epoch_0_D:	692	0.33186		
Epoch_0_D:	693	0.329481	
Epoch_0_D:	694	0.338769	
Epoch_0_D:	695	0.34849		
Epoch_0_D:	696	0.343866	
Epoch_0_D:	697	0.348353	
Epoch_0_D:	698	0.347591	
Epoch_0_D:	699	0.348074	
Epoch_0_D:	700	0.39177		
Epoch_0_D:	701	0.377475	
Epoch_0_D:	702	0.375486	
Epoch_0_D:	703	0.365339	
Epoch_0_D:	704	0.350077	
Epoch_0_D:	705	0.339158	
Epoch_0_D:	706	0.33399		
Epoch_0_D:	707	0.338171	
Epoch_0_D:	708	0.327384	
Epoch_0_D:	709	0.321894	
Epoch_0_D:	710	0.351635	
Epoch_0_D:	711	0.343538	
Epoch_0_D:	712	0.348101	
Epoch_0_D:	713	0.350559	
Epoch_0_D:	714	0.351241	
Epoch_0_D:	715	0.352281	
Epoch_0_D:	716	0.353115	
Epoch_0_D:	717	0.353068	
Epoch_0_D:	718	0.352752	
Epoch_0_D:	719	0.352248	
Epoch_0_D:	720	0.352662	
Epoch_0_D:	721	0.341908	
Epoch_0_D:	722	0.339004	
Epoch_0_D:	723	0.330886	
Epoch_0_D:	724	0.327767	
Epoch_0_D:	725	0.325606	
Epoch_0_D:	726	0.322071	
Epoch_0_D:	727	0.317397	
Epoch_0_D:	728	0.31293		
Epoch_0_D:	729	0.308077	
Epoch_0_D:	730	0.317241	
Epoch_0_D:	731	0.312322	
Epoch_0_D:	732	0.315436	
Epoch_0_D:	733	0.313425	
Epoch_0_D:	734	0.313365	
Epoch_0_D:	735	0.313327	
Epoch_0_D:	736	0.314039	
Epoch_0_D:	737	0.312556	
Epoch_0_D:	738	0.31455		
Epoch_0_D:	739	0.314371	
Epoch_0_D:	740	0.349104	
Epoch_0_D:	741	0.305919	
Epoch_0_D:	742	0.303313	
Epoch_0_D:	743	0.3092		
Epoch_0_D:	744	0.311371	
Epoch_0_D:	745	0.313971	
Epoch_0_D:	746	0.313032	
Epoch_0_D:	747	0.314141	
Epoch_0_D:	748	0.31416		
Epoch_0_D:	749	0.313914	
Epoch_0_D:	750	0.333758	
Epoch_0_D:	751	0.305514	
Epoch_0_D:	752	0.293865	
Epoch_0_D:	753	0.287296	
Epoch_0_D:	754	0.288921	
Epoch_0_D:	755	0.286901	
Epoch_0_D:	756	0.28859		
Epoch_0_D:	757	0.288543	
Epoch_0_D:	758	0.288801	
Epoch_0_D:	759	0.288812	
Epoch_0_D:	760	0.336245	
Epoch_0_D:	761	0.332124	
Epoch_0_D:	762	0.316272	
Epoch_0_D:	763	0.314041	
Epoch_0_D:	764	0.308329	
Epoch_0_D:	765	0.30529		
Epoch_0_D:	766	0.311006	
Epoch_0_D:	767	0.307886	
Epoch_0_D:	768	0.31158		
Epoch_0_D:	769	0.313176	
Epoch_0_D:	770	0.324407	
Epoch_0_D:	771	0.301641	
